Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
BD1200591,,5.4,5.75,,,,3.0,7.25,8.5,,,5.6,N1,BinhDinh
BD1200592,,5.6,5.75,,,,4.5,7.5,8.5,,,3.6,N1,BinhDinh
BD1200593,,7.4,7.0,,,,5.25,8.5,8.5,,,8.2,N1,BinhDinh
BD1200594,,7.4,5.0,5.25,6.0,6.5,,,,,,3.6,N1,BinhDinh
BD1200595,,8.8,,6.0,4.25,2.75,,,,,,,,BinhDinh
BD1200596,,5.6,6.5,,,,3.75,6.25,9.0,,,5.2,N1,BinhDinh
BD1200597,,4.2,5.75,,,,3.75,5.75,6.25,,,2.2,N1,BinhDinh
BD1200598,,5.0,4.75,,,,4.25,5.5,8.0,,,3.6,N1,BinhDinh
BD1200599,,6.0,6.75,6.25,5.25,5.75,,,,,,5.2,N1,BinhDinh
BD1200600,,5.2,4.5,,,,2.25,3.5,6.5,,,2.8,N1,BinhDinh
BD1200601,,5.2,7.5,,,,4.0,7.0,7.25,,,6.2,N1,BinhDinh
BD1200602,,4.4,6.25,,,,3.25,4.75,9.0,,,3.0,N1,BinhDinh
BD1200603,,7.6,6.75,,,,5.0,6.0,8.75,,,9.4,N1,BinhDinh
BD1200604,,5.4,5.25,,,,4.0,4.25,6.25,,,2.6,N1,BinhDinh
BD1200605,,7.6,6.25,3.25,6.75,6.5,,,,,,3.2,N1,BinhDinh
BD1200606,,6.6,6.75,5.5,5.0,3.75,,,,,,4.0,N1,BinhDinh
BD1200607,,5.8,4.25,,,,2.25,6.75,8.0,,,1.8,N1,BinhDinh
BD1200608,,5.8,5.0,,,,3.75,3.75,7.25,,,4.2,N1,BinhDinh
BD1200609,,4.6,7.0,,,,3.25,6.75,8.5,,,6.0,N1,BinhDinh
BD1200610,,6.0,4.5,,,,4.0,5.5,6.75,,,3.2,N1,BinhDinh
BD1200611,,7.0,7.25,3.0,3.25,2.0,5.25,6.75,8.75,,,4.2,N1,BinhDinh
BD1200612,,4.0,5.0,,,,2.5,5.0,6.0,,,4.2,N1,BinhDinh
BD1200613,,4.0,3.25,,,,4.0,,,,,,,BinhDinh
BD1200614,,5.8,5.25,2.25,3.25,4.75,4.75,6.5,8.75,,,2.8,N1,BinhDinh
BD1200615,,5.6,5.0,,,,4.25,6.5,8.25,,,2.8,N1,BinhDinh
BD1200616,,3.2,5.5,2.25,2.5,1.5,4.75,4.25,4.25,,,2.6,N1,BinhDinh
BD1200617,,6.8,5.5,7.0,6.0,5.5,,,,,,6.0,N1,BinhDinh
BD1200618,,7.0,6.75,6.5,6.0,3.25,,,,,,4.0,N1,BinhDinh
BD1200619,,3.4,3.75,,,,4.75,6.25,7.75,,,2.4,N1,BinhDinh
BD1200620,,2.8,2.25,,,,3.5,3.5,4.0,,,3.6,N1,BinhDinh
BD1200621,,7.4,6.5,7.25,6.25,4.75,,,,,,6.6,N1,BinhDinh
BD1200623,,3.6,4.25,3.0,1.5,2.0,4.0,5.25,5.0,,,2.8,N1,BinhDinh
BD1200624,,6.0,5.5,3.0,7.25,6.75,,,,,,7.2,N1,BinhDinh
BD1200625,,7.8,5.0,5.75,4.5,4.75,,,,,,5.6,N1,BinhDinh
BD1200626,,6.8,3.0,,,,3.75,8.5,8.5,,,7.6,N1,BinhDinh
BD1200627,,6.2,4.5,3.5,5.25,3.75,,,,,,2.4,N1,BinhDinh
BD1200628,,2.0,1.75,,,,2.0,4.75,5.5,,,2.2,N1,BinhDinh
BD1200629,,5.4,6.0,5.75,5.0,4.0,,,,,,4.8,N1,BinhDinh
BD1200630,,6.2,5.75,2.25,4.5,3.25,4.75,5.75,7.0,,,4.2,N1,BinhDinh
BD1200631,,6.6,6.0,6.25,3.5,4.75,,,,,,4.8,N1,BinhDinh
BD1200632,,7.2,4.5,5.75,7.0,4.75,,,,,,4.0,N1,BinhDinh
BD1200633,,5.2,5.75,,,,3.5,4.5,7.5,,,3.8,N1,BinhDinh
BD1200634,,7.0,7.0,6.25,4.75,4.5,,,,,,5.8,N1,BinhDinh
BD1200635,,4.2,5.25,,,,4.25,7.0,7.25,,,4.4,N1,BinhDinh
BD1200636,,5.8,5.25,3.5,4.75,3.5,4.5,6.0,7.5,,,4.4,N1,BinhDinh
BD1200637,,8.8,5.25,9.0,8.0,5.0,,,,,,3.8,N1,BinhDinh
BD1200638,,4.6,4.0,2.75,4.5,2.25,3.75,6.0,5.5,,,4.0,N1,BinhDinh
BD1200639,,3.8,5.5,,,,5.25,7.75,6.5,,,4.6,N1,BinhDinh
BD1200640,,5.8,6.25,2.75,5.5,3.25,,,,,,4.6,N1,BinhDinh
BD1200641,,6.4,4.5,,,,3.75,6.25,9.0,,,5.6,N1,BinhDinh
BD1200642,,7.4,5.5,3.25,6.25,3.75,,,,,,3.0,N1,BinhDinh
BD1200643,,6.4,5.75,5.0,5.5,4.0,,,,,,3.4,N1,BinhDinh
BD1200644,,7.6,7.0,,,,3.5,8.25,8.5,,,3.8,N1,BinhDinh
BD1200645,,6.0,6.25,,,,5.75,6.25,7.25,,,5.8,N1,BinhDinh
BD1200646,,6.6,6.5,,,,4.5,7.0,8.5,,,5.2,N1,BinhDinh
BD1200647,,3.0,4.75,,,,3.25,6.5,7.5,,,3.0,N1,BinhDinh
BD1200648,,5.6,6.0,6.0,4.5,4.5,,,,,,3.4,N1,BinhDinh
BD1200649,,6.8,5.5,6.25,5.5,4.0,,,,,,6.4,N1,BinhDinh
BD1200650,,3.2,3.5,,,,6.0,,,,,,,BinhDinh
BD1200651,,2.0,2.25,,,,3.5,2.75,5.75,,,2.8,N1,BinhDinh
BD1200652,,5.8,5.25,,,,2.75,5.25,7.5,,,2.4,N1,BinhDinh
BD1200653,,8.0,6.5,4.75,8.0,8.0,,,,,,6.8,N1,BinhDinh
BD1200654,,6.4,6.0,6.0,6.25,4.5,,,,,,2.6,N1,BinhDinh
BD1200655,,8.2,6.75,6.75,7.5,5.0,,,,,,6.2,N1,BinhDinh
BD1200656,,6.6,6.0,,,,3.25,5.75,8.25,,,4.6,N1,BinhDinh
BD1200657,,7.8,7.75,,,,,,,,,6.8,N1,BinhDinh
BD1200658,,2.8,3.75,,,,3.5,4.75,7.25,,,3.0,N1,BinhDinh
BD1200659,,7.4,5.25,5.5,6.25,5.25,,,,,,3.8,N1,BinhDinh
BD1200661,,7.2,4.5,6.25,6.75,3.0,,,,,,3.4,N1,BinhDinh
BD1200662,,3.2,2.25,,,,3.25,5.75,,,,2.0,N1,BinhDinh
BD1200663,,6.2,4.5,4.5,6.0,2.75,4.0,4.25,7.0,,,3.2,N1,BinhDinh
BD1200664,,6.2,4.5,5.25,4.0,3.5,2.0,5.0,6.0,,,3.6,N1,BinhDinh
BD1200665,,1.6,4.5,,,,3.25,4.25,5.0,,,2.2,N1,BinhDinh
BD1200666,,6.2,5.25,4.5,4.5,4.75,,,,,,3.6,N1,BinhDinh
BD1200667,,3.6,4.0,,,,4.5,5.25,5.5,,,3.4,N1,BinhDinh
BD1200668,,5.0,3.75,4.25,3.0,4.0,,,,,,3.8,N1,BinhDinh
BD1200669,,5.2,5.5,,,,4.25,4.75,7.75,,,6.4,N1,BinhDinh
BD1200670,,7.8,6.0,7.0,6.0,3.75,,,,,,6.8,N1,BinhDinh
BD1200671,,8.2,5.0,8.5,5.5,4.25,,,,,,8.4,N1,BinhDinh
BD1200672,,8.0,7.5,,,,6.75,7.5,8.0,,,3.4,N1,BinhDinh
BD1200673,,8.0,6.0,7.25,6.25,4.25,,,,,,4.4,N1,BinhDinh
BD1200674,,6.0,6.5,,,,8.75,9.0,8.5,,,5.0,N1,BinhDinh
BD1200675,,6.0,5.5,,,,3.0,5.0,6.5,,,2.6,N1,BinhDinh
BD1200676,,8.4,7.25,4.5,7.5,6.0,,,,,,6.8,N1,BinhDinh
BD1200677,,5.8,6.0,,,,4.25,6.5,7.5,,,5.6,N1,BinhDinh
BD1200678,,3.0,3.0,1.75,3.25,2.75,4.25,6.5,6.0,,,3.2,N1,BinhDinh
BD1200679,,4.8,4.75,,,,6.0,4.75,7.0,,,2.8,N1,BinhDinh
BD1200680,,7.0,7.0,6.75,6.5,5.0,,,,,,6.0,N1,BinhDinh
BD1200681,,6.2,7.25,5.25,4.0,2.75,,,,,,7.6,N1,BinhDinh
BD1200682,,8.0,6.25,6.75,6.25,3.25,,,,,,6.0,N1,BinhDinh
BD1200683,,6.6,7.0,,,,7.5,8.25,8.5,,,7.2,N1,BinhDinh
BD1200684,,5.2,4.0,1.75,3.0,3.5,3.0,5.75,8.25,,,3.8,N1,BinhDinh
BD1200685,,5.2,5.75,,,,4.0,5.5,6.75,,,3.8,N1,BinhDinh
BD1200686,,5.0,4.0,3.25,4.25,3.75,3.25,5.75,7.0,,,1.8,N1,BinhDinh
BD1200687,,7.4,5.5,6.5,4.25,4.0,4.5,5.5,7.25,,,3.0,N1,BinhDinh
BD1200688,,5.8,5.5,,,,5.75,6.75,7.5,,,3.6,N1,BinhDinh
BD1200689,,7.2,7.5,,,,7.25,7.5,9.5,,,8.2,N1,BinhDinh
BD1200690,,4.4,5.75,4.0,2.5,4.5,4.25,5.75,6.5,,,4.2,N1,BinhDinh
BD1200691,,2.2,3.0,,,,3.5,5.75,6.75,,,1.8,N1,BinhDinh
BD1200692,,5.6,3.75,,,,4.25,6.5,8.5,,,1.4,N1,BinhDinh
BD1200693,,3.0,4.75,,,,4.75,,,,,,,BinhDinh
BD1200694,,7.0,7.25,,,,6.25,7.5,9.25,,,5.6,N1,BinhDinh
BD1200695,,6.2,5.0,2.75,3.25,4.75,5.75,6.0,8.5,,,5.4,N1,BinhDinh
BD1200696,,8.2,7.0,,,,5.5,7.0,7.5,,,9.6,N1,BinhDinh
BD1200697,,6.2,5.5,5.0,4.5,5.25,,,,,,5.2,N1,BinhDinh
BD1200698,,6.4,7.0,,,,4.75,6.75,6.5,,,6.8,N1,BinhDinh
BD1200699,,2.4,4.5,,,,3.25,6.75,7.75,,,2.0,N1,BinhDinh
BD1200700,,5.0,5.0,3.0,3.25,3.0,1.75,6.25,5.5,,,2.2,N1,BinhDinh
BD1200701,,6.0,4.0,3.5,4.75,4.25,,,,,,3.2,N1,BinhDinh
BD1200702,,4.2,5.75,,,,4.0,5.0,7.0,,,2.6,N1,BinhDinh
BD1200703,,6.4,5.5,6.25,6.75,6.25,,,,,,5.8,N1,BinhDinh
BD1200704,,5.4,4.5,,,,3.0,5.5,7.25,,,1.8,N1,BinhDinh
BD1200705,,3.4,5.25,,,,4.0,5.75,8.0,,,2.4,N1,BinhDinh
BD1200706,,4.6,3.75,,,,2.75,5.75,4.75,,,4.2,N1,BinhDinh
BD1200707,,6.4,5.25,6.0,4.25,3.75,1.75,5.0,5.0,,,3.4,N1,BinhDinh
BD1200708,,7.0,6.25,,,,4.75,7.25,7.75,,,7.0,N1,BinhDinh
BD1200709,,5.6,5.0,,,,8.0,7.5,8.5,,,4.8,N1,BinhDinh
BD1200710,,4.6,7.0,,,,6.5,6.5,9.0,,,3.4,N1,BinhDinh
BD1200711,,4.2,3.0,3.25,2.0,1.25,2.75,4.5,6.25,,,2.8,N1,BinhDinh
BD1200712,,6.0,5.5,6.0,4.0,3.25,,,,,,5.6,N1,BinhDinh
BD1200713,,8.8,6.0,8.0,7.5,5.25,,,,,,5.8,N1,BinhDinh
BD1200714,,5.4,5.75,,,,5.5,6.75,6.5,,,5.4,N1,BinhDinh
BD1200715,,3.6,4.25,,,,4.5,4.25,6.25,,,2.8,N1,BinhDinh
BD1200716,,4.2,3.0,2.0,2.5,4.25,2.75,3.25,4.75,,,4.2,N1,BinhDinh
BD1200717,,4.2,6.5,,,,3.75,5.5,7.5,,,3.4,N1,BinhDinh
BD1200718,,5.6,6.5,4.0,4.75,4.5,4.75,7.0,7.75,,,3.8,N1,BinhDinh
BD1200719,,6.6,3.0,5.5,5.25,5.0,,,,,,5.8,N1,BinhDinh
BD1200720,,7.8,5.75,6.25,5.75,5.0,,,,,,4.2,N1,BinhDinh
BD1200721,,7.2,3.75,6.5,3.5,5.25,3.5,7.5,7.75,,,3.8,N1,BinhDinh
BD1200722,,3.4,4.5,,,,2.75,5.25,5.5,,,3.2,N1,BinhDinh
BD1200723,,6.6,6.5,4.75,5.5,5.25,,,,,,5.6,N1,BinhDinh
BD1200724,,3.6,1.25,3.5,3.25,4.0,2.5,4.0,4.25,,,3.4,N1,BinhDinh
BD1200725,,8.2,5.75,6.75,7.0,5.75,,,,,,5.4,N1,BinhDinh
BD1200726,,7.4,6.0,4.75,4.25,4.75,4.25,7.0,8.0,,,6.6,N1,BinhDinh
BD1200727,,4.6,3.5,,,,5.25,7.25,7.75,,,3.6,N1,BinhDinh
BD1200728,,6.8,6.0,,,,4.5,7.25,7.5,,,6.6,N1,BinhDinh
BD1200729,,5.4,5.5,,,,3.25,5.0,8.0,,,2.8,N1,BinhDinh
BD1200730,,5.6,6.25,,,,3.25,6.25,8.25,,,7.8,N1,BinhDinh
BD1200731,,3.8,2.75,,,,2.75,5.25,6.75,,,2.2,N1,BinhDinh
BD1200732,,4.8,5.0,5.5,3.25,4.0,,,,,,3.4,N1,BinhDinh
BD1200733,,6.0,6.25,,,,4.25,6.75,7.5,,,4.6,N1,BinhDinh
BD1200734,,5.8,6.0,,,,5.5,6.75,7.5,,,4.0,N1,BinhDinh
BD1200735,,6.0,2.0,2.0,3.0,3.5,2.75,6.5,7.75,,,4.6,N1,BinhDinh
BD1200736,,7.0,6.5,5.0,3.75,4.0,,,,,,4.2,N1,BinhDinh
BD1200737,,6.8,5.75,,,,3.5,4.0,6.0,,,2.6,N1,BinhDinh
BD1200738,,7.0,4.25,3.75,4.75,4.0,,,,,,2.6,N1,BinhDinh
BD1200739,,8.0,6.0,6.75,4.0,5.75,,,,,,7.0,N1,BinhDinh
BD1200740,,3.8,4.5,,,,4.75,6.5,8.75,,,3.6,N1,BinhDinh
BD1200741,,7.0,7.0,5.25,6.0,5.5,,,,,,5.2,N1,BinhDinh
BD1200742,,3.6,6.25,,,,4.0,6.5,8.25,,,3.4,N1,BinhDinh
BD1200743,,5.6,5.5,,,,4.75,7.25,8.0,,,3.0,N1,BinhDinh
BD1200744,,7.0,5.5,5.75,5.0,5.0,,,,,,4.2,N1,BinhDinh
BD1200745,,3.2,5.0,4.5,3.0,3.25,,,,,,2.2,N1,BinhDinh
BD1200746,,5.4,3.75,,,,3.25,3.25,6.75,,,1.8,N1,BinhDinh
BD1200747,,8.4,6.5,6.5,8.0,8.5,,,,,,5.6,N1,BinhDinh
BD1200748,,5.4,5.0,,,,4.25,7.5,9.5,,,3.0,N1,BinhDinh
BD1200749,,7.6,6.5,,,,4.5,5.75,9.25,,,4.2,N1,BinhDinh
BD1200750,,6.0,6.0,,,,3.75,5.5,8.5,,,4.4,N1,BinhDinh
BD1200751,,5.6,3.0,2.0,3.0,2.5,3.5,4.5,7.5,,,3.6,N1,BinhDinh
BD1200752,,7.2,6.5,5.75,5.75,5.0,,,,,,6.4,N1,BinhDinh
BD1200753,,6.8,6.75,6.25,6.0,4.0,,,,,,4.6,N1,BinhDinh
BD1200754,,6.4,6.0,4.75,2.5,3.5,,,,,,4.0,N1,BinhDinh
BD1200755,,4.2,3.25,,,,5.75,,,,,,,BinhDinh
BD1200756,,4.8,3.75,,,,5.25,5.75,8.25,,,2.4,N1,BinhDinh
BD1200757,,7.6,5.25,5.0,5.0,3.25,,,,,,5.2,N1,BinhDinh
BD1200758,,1.6,4.0,,,,2.25,4.0,4.5,,,2.0,N1,BinhDinh
BD1200759,,6.4,4.75,2.25,2.5,2.75,2.75,6.25,8.25,,,3.2,N1,BinhDinh
BD1200760,,6.0,5.5,,,,6.5,6.0,8.5,,,2.8,N1,BinhDinh
BD1200761,,6.8,6.0,3.25,6.0,5.0,,,,,,3.6,N1,BinhDinh
BD1200762,,7.4,6.0,7.75,6.25,6.25,,,,,,3.4,N1,BinhDinh
BD1200763,,4.4,2.75,,,,3.25,5.0,8.0,,,4.0,N1,BinhDinh
BD1200764,,6.0,6.0,,,,3.25,5.25,7.0,,,2.8,N1,BinhDinh
BD1200765,,7.2,,5.25,4.75,2.5,,,,,,,,BinhDinh
BD1200766,,8.0,6.25,7.5,5.25,4.75,3.0,5.5,7.25,,,7.8,N1,BinhDinh
BD1200767,,6.4,5.5,3.75,3.75,4.25,4.25,5.0,5.25,,,4.2,N1,BinhDinh
BD1200768,,7.6,5.75,7.0,5.25,4.5,4.75,7.5,7.25,,,2.6,N1,BinhDinh
BD1200769,,6.8,5.5,2.25,3.75,4.75,,,,,,4.0,N1,BinhDinh
BD1200770,,7.6,6.0,5.5,5.0,4.25,,,,,,2.8,N1,BinhDinh
BD1200771,,7.2,6.0,6.0,5.0,3.5,,,,,,3.4,N1,BinhDinh
BD1200772,,8.0,5.5,7.0,6.5,6.5,,,,,,6.8,N1,BinhDinh
BD1200773,,8.4,6.25,7.0,6.25,4.0,,,,,,7.4,N1,BinhDinh
BD1200774,,6.0,6.25,4.75,4.0,3.0,,,,,,5.2,N1,BinhDinh
BD1200775,,7.8,7.75,6.5,5.0,3.25,,,,,,6.6,N1,BinhDinh
BD1200776,,3.2,2.5,3.0,3.0,4.25,4.75,4.5,4.75,,,2.2,N1,BinhDinh
BD1200777,,8.4,5.25,7.0,6.75,5.0,,,,,,5.6,N1,BinhDinh
BD1200778,,7.2,6.5,7.25,6.25,4.25,4.0,7.25,6.75,,,2.6,N1,BinhDinh
BD1200779,,5.6,4.75,5.0,2.25,3.5,4.25,6.25,7.75,,,5.2,N1,BinhDinh
BD1200780,,5.4,5.0,,,,5.75,7.25,6.75,,,4.2,N1,BinhDinh
BD1200781,,4.0,5.25,,,,5.0,,,,,,,BinhDinh
BD1200782,,8.4,5.5,8.0,7.0,6.25,,,,,,3.6,N1,BinhDinh
BD1200783,,7.6,5.0,4.75,6.25,5.5,,,,,,5.2,N1,BinhDinh
BD1200784,,4.2,4.75,,,,3.75,5.0,8.25,,,3.0,N1,BinhDinh
BD1200785,,5.8,5.25,,,,2.5,6.0,7.0,,,5.4,N1,BinhDinh
BD1200786,,4.8,4.75,,,,3.75,,,,,,,BinhDinh
BD1200787,,6.4,5.5,,,,6.75,7.25,9.0,,,6.4,N1,BinhDinh
BD1200788,,4.6,7.5,,,,9.25,9.25,9.0,,,4.0,N1,BinhDinh
BD1200789,,4.6,4.75,1.75,3.0,4.5,,,,,,4.0,N1,BinhDinh
BD1200790,,4.4,5.0,,,,6.0,7.0,8.5,,,3.0,N1,BinhDinh
BD1200791,,8.2,6.0,7.5,7.25,5.5,,,,,,6.4,N1,BinhDinh
BD1200792,,5.0,5.75,,,,4.25,6.0,9.5,,,2.8,N1,BinhDinh
BD1200793,,6.0,5.5,6.0,3.0,5.25,4.75,7.25,7.5,,,2.4,N1,BinhDinh
BD1200794,,5.4,6.5,,,,5.25,7.5,7.75,,,2.6,N1,BinhDinh
BD1200795,,5.6,5.0,2.25,4.25,2.75,3.0,4.75,7.5,,,4.0,N1,BinhDinh
BD1200796,,4.2,3.75,3.0,2.75,3.75,4.5,6.25,9.25,,,4.0,N1,BinhDinh
BD1200797,,7.8,6.5,7.25,5.25,5.5,,,,,,7.8,N1,BinhDinh
BD1200798,,4.6,6.5,,,,3.75,6.25,7.0,,,4.8,N1,BinhDinh
BD1200799,,7.0,4.75,7.0,7.0,5.5,,,,,,4.0,N1,BinhDinh
BD1200800,,7.2,4.25,6.75,6.75,5.0,,,,,,3.6,N1,BinhDinh
BD1200801,,5.0,6.0,,,,3.5,4.75,7.25,,,4.0,N1,BinhDinh
BD1200802,,7.0,5.75,5.75,6.0,5.0,,,,,,4.4,N1,BinhDinh
BD1200803,,5.6,4.5,2.5,3.0,4.0,3.5,5.0,7.0,,,3.0,N1,BinhDinh
BD1200804,,6.4,6.0,,,,3.5,6.25,7.75,,,5.2,N1,BinhDinh
BD1200805,,7.0,,6.5,8.0,,,,,,,,,BinhDinh
BD1200806,,6.0,5.5,5.5,5.5,5.25,,,,,,3.2,N1,BinhDinh
BD1200807,,2.2,2.0,,,,2.75,3.5,5.75,,,1.6,N1,BinhDinh
BD1200808,,5.8,6.0,3.75,2.0,4.0,4.75,7.75,8.0,,,2.8,N1,BinhDinh
BD1200809,,5.6,6.5,4.5,3.5,3.75,4.0,5.25,9.0,,,4.0,N1,BinhDinh
BD1200810,,7.6,5.5,6.5,6.5,3.75,,,,,,3.6,N1,BinhDinh
BD1200811,,3.2,4.5,,,,3.75,7.0,7.5,,,2.8,N1,BinhDinh
BD1200812,,8.2,,7.0,2.5,,,,,,,7.2,N1,BinhDinh
BD1200813,,4.8,5.5,,,,7.0,8.5,8.75,,,4.0,N1,BinhDinh
BD1200814,,6.4,4.25,3.5,4.0,3.75,,,,,,4.8,N1,BinhDinh
BD1200815,,2.6,2.75,,,,3.75,3.5,,,,,,BinhDinh
BD1200816,,7.0,6.0,,,,4.5,6.25,7.0,,,7.0,N1,BinhDinh
BD1200817,,3.8,5.25,,,,4.0,6.25,6.75,,,4.2,N1,BinhDinh
BD1200818,,7.0,3.75,6.75,5.5,3.25,,,,,,3.2,N1,BinhDinh
BD1200819,,6.6,6.25,4.25,2.75,2.25,3.0,5.0,5.75,,,5.2,N1,BinhDinh
BD1200820,,2.2,4.0,,,,2.75,,,,,,,BinhDinh
BD1200821,,3.2,4.0,2.0,3.25,4.0,3.25,5.25,7.25,,,2.2,N1,BinhDinh
BD1200822,,6.0,6.25,,,,5.25,7.5,9.0,,,2.4,N1,BinhDinh
BD1200823,,7.6,,,7.5,7.5,,,,,,,,BinhDinh
BD1200824,,5.0,5.0,3.25,3.0,4.0,3.75,7.5,8.5,,,2.0,N1,BinhDinh
BD1200825,,7.0,7.5,,,,4.25,6.25,8.0,,,8.6,N1,BinhDinh
BD1200826,,3.4,4.75,,,,2.75,4.5,5.5,,,3.4,N1,BinhDinh
BD1200827,,5.8,5.5,,,,4.0,5.75,7.5,,,3.4,N1,BinhDinh
BD1200828,,8.8,5.5,7.5,7.5,4.0,,,,,,3.6,N1,BinhDinh
BD1200829,,5.0,4.75,,,,4.0,5.0,6.75,,,3.6,N1,BinhDinh
BD1200830,,7.4,3.5,4.0,4.25,5.0,,,,,,4.4,N1,BinhDinh
BD1200831,,7.4,6.25,7.75,7.5,5.0,,,,,,5.8,N1,BinhDinh
BD1200832,,5.8,5.75,2.0,2.75,3.5,,,,,,4.0,N1,BinhDinh
BD1200833,,5.4,6.25,,,,4.5,5.0,8.25,,,3.8,N1,BinhDinh
BD1200834,,6.8,5.25,,,,4.5,6.25,8.0,,,6.6,N1,BinhDinh
BD1200835,,6.8,6.5,5.75,4.5,3.5,3.0,5.75,7.5,,,3.0,N1,BinhDinh
BD1200836,,5.4,4.25,,,,5.25,5.75,6.5,,,2.2,N1,BinhDinh
BD1200837,,6.2,5.5,2.5,3.0,4.5,5.25,6.0,8.5,,,2.2,N1,BinhDinh
BD1200838,,6.4,5.75,6.25,6.25,7.0,,,,,,3.0,N1,BinhDinh
BD1200839,,5.2,6.5,5.25,5.25,5.75,4.0,5.75,8.0,,,4.4,N1,BinhDinh
BD1200840,,7.6,4.0,,,,4.0,5.25,8.75,,,2.6,N1,BinhDinh
BD1200841,,5.4,5.0,,,,2.0,6.5,7.0,,,4.4,N1,BinhDinh
BD1200843,,5.0,4.0,2.0,2.5,2.25,3.5,6.0,8.5,,,3.2,N1,BinhDinh
BD1200844,,5.8,7.0,4.25,3.75,4.0,,,,,,5.2,N1,BinhDinh
BD1200845,,8.2,5.5,7.5,7.25,4.25,,,,,,4.0,N1,BinhDinh
BD1200846,,6.8,5.75,,,,6.75,5.5,6.0,,,6.0,N1,BinhDinh
BD1200847,,6.8,7.0,6.0,5.0,3.75,,,,,,7.6,N1,BinhDinh
BD1200848,,4.4,6.75,,,,3.0,5.5,9.5,,,6.2,N1,BinhDinh
BD1200849,,3.2,4.0,,,,4.0,5.75,8.75,,,2.4,N1,BinhDinh
BD1200851,,6.0,6.0,,,,6.5,7.5,9.25,,,8.4,N1,BinhDinh
BD1200852,,5.6,5.0,,,,2.75,6.75,8.25,,,3.2,N1,BinhDinh
BD1200853,,8.4,5.5,4.75,7.5,7.0,,,,,,7.6,N1,BinhDinh
BD1200854,,6.6,4.75,,,,4.25,6.75,7.25,,,4.6,N1,BinhDinh
BD1200855,,5.8,6.25,,,,4.25,7.5,7.0,,,3.4,N1,BinhDinh
BD1200856,,9.2,6.25,5.75,8.25,9.0,,,,,,6.4,N1,BinhDinh
BD1200857,,5.6,4.5,4.25,3.75,4.25,,,,,,3.0,N1,BinhDinh
BD1200858,,5.2,6.5,,,,5.0,6.75,7.0,,,4.4,N1,BinhDinh
BD1200859,,6.4,7.75,,,,5.25,6.0,8.5,,,5.0,N1,BinhDinh
BD1200860,,4.4,4.5,5.0,5.75,5.75,,,,,,7.0,N1,BinhDinh
BD1200861,,3.6,6.0,3.25,2.75,4.25,5.0,6.75,9.25,,,5.0,N1,BinhDinh
BD1200862,,5.2,5.25,4.0,4.25,2.75,,,,,,2.2,N1,BinhDinh
BD1200863,,7.0,6.75,,,,5.25,5.25,7.5,,,7.2,N1,BinhDinh
BD1200864,,3.6,4.5,,,,3.5,5.0,6.5,,,2.2,N1,BinhDinh
BD1200865,,7.8,5.75,6.75,7.25,6.75,,,,,,3.8,N1,BinhDinh
BD1200866,,7.2,5.75,6.5,6.5,5.75,,,,,,5.8,N1,BinhDinh
BD1200867,,6.2,6.0,,,,3.5,5.5,5.0,,,5.8,N1,BinhDinh
BD1200868,,5.2,6.5,3.0,1.75,2.25,4.0,5.75,7.5,,,3.4,N1,BinhDinh
BD1200869,,7.0,7.25,,,,6.0,8.5,9.25,,,8.4,N1,BinhDinh
BD1200870,,7.8,4.75,5.25,6.0,4.0,,,,,,3.6,N1,BinhDinh
BD1200871,,5.2,5.0,,,,3.25,7.0,8.75,,,2.8,N1,BinhDinh
BD1200872,,5.6,4.75,,,,3.5,5.25,8.0,,,3.8,N1,BinhDinh
BD1200873,,6.6,6.25,,,,6.75,8.0,9.5,,,3.8,N1,BinhDinh
BD1200875,,5.2,4.75,5.25,2.5,3.25,,,,,,4.2,N1,BinhDinh
BD1200876,,9.0,5.75,7.0,6.75,5.25,,,,,,3.4,N1,BinhDinh
BD1200877,,8.6,,6.0,2.5,,,,,,,3.2,N1,BinhDinh
BD1200878,,5.6,6.0,,,,3.0,6.0,8.25,,,3.6,N1,BinhDinh
BD1200879,,6.6,5.5,5.5,4.25,4.0,,,,,,4.2,N1,BinhDinh
BD1200880,,7.2,5.75,,,,5.25,7.25,8.0,,,4.4,N1,BinhDinh
BD1200881,,4.2,3.0,3.5,2.0,4.25,5.5,5.0,6.75,,,4.0,N1,BinhDinh
BD1200882,,3.2,3.75,2.5,2.5,2.5,2.5,4.25,,,,,,BinhDinh
BD1200883,,6.0,6.0,5.75,3.75,5.0,,,,,,3.2,N1,BinhDinh
BD1200884,,7.6,6.0,6.0,6.25,5.0,,,,,,3.6,N1,BinhDinh
BD1200885,,4.4,3.5,,,,3.75,4.75,7.0,,,3.2,N1,BinhDinh
BD1200886,,7.6,5.25,8.0,6.75,4.0,,,,,,4.2,N1,BinhDinh
BD1200887,,5.4,4.5,,,,5.5,6.0,8.75,,,5.8,N1,BinhDinh
BD1200888,,6.2,7.25,,,,5.25,8.5,8.75,,,6.4,N1,BinhDinh
BD1200889,,6.6,5.5,6.5,6.0,3.75,,,,,,2.4,N1,BinhDinh
BD1200890,,7.4,6.75,,,,5.0,7.0,7.75,,,6.4,N1,BinhDinh
